arch,subset,lkey,layer,probe_type,n_runs,balanced_accuracy_mean,selectivity_mean,control_balanced_accuracy_mean,raw_accuracy_mean,majority_baseline_mean,balanced_accuracy_std,selectivity_std,control_balanced_accuracy_std,raw_accuracy_std,majority_baseline_std,layer_index
feature_invariant,all,3,enc3,linear,12,0.702461834251607,0.21352521144374728,0.4889366228078597,0.8681984681984681,0.8939393939393939,0.09977371461129884,0.11934734984865128,0.02672495101288492,0.06120262503283501,0.0,
feature_invariant,all,100,dec0,linear,12,0.7055108853688399,0.19552167553106684,0.5099892098377731,0.8746554834054834,0.8939393939393939,0.07817650529365099,0.10412759534197233,0.029333123819297726,0.04219568707988087,0.0,
feature_invariant,all,101,dec1,linear,12,0.7434035430058157,0.23137965110612493,0.5120238918996908,0.8899111999111998,0.8939393939393939,0.10873553487900131,0.13510221502965988,0.03600279312774349,0.04197007145834216,0.0,
feature_invariant,all,102,dec2,linear,12,0.756099919651056,0.2648555695855474,0.4912443500655086,0.8935309135309136,0.8939393939393939,0.11462375059648051,0.11280620340935706,0.017590912822954784,0.05030768416516936,0.0,
feature_invariant,all,103,dec3,linear,12,0.6652643862871136,0.1794809469322098,0.4857834393549037,0.8367884892884893,0.8939393939393939,0.1221986471275277,0.1189688803989393,0.013088259034873519,0.07332915474287512,0.0,
feature_invariant,all,0,enc0,mlp,12,0.5978141261095806,0.11785789785705834,0.4799562282525223,0.8317454767454767,0.8939393939393939,0.14161662240568343,0.14909183810298207,0.024486717768120288,0.06108499202450849,0.0,
feature_invariant,all,1,enc1,mlp,12,0.6371672214569942,0.1298782192202337,0.5072890022367604,0.8477007714507714,0.8939393939393939,0.11355312162739081,0.10851317528977951,0.010074756175352358,0.05352074445956052,0.0,
feature_invariant,all,2,enc2,mlp,12,0.6353396655953475,0.13709396821603012,0.49824569737931723,0.8527096514596515,0.8939393939393939,0.11534199061307344,0.11497664163756152,0.008542624947246122,0.05577959443637647,0.0,
feature_invariant,all,3,enc3,mlp,12,0.6445565503520049,0.1387729483380693,0.5057836020139356,0.8670156232656231,0.8939393939393939,0.09888536012938759,0.09419492204575967,0.022368655633024807,0.042992689009104815,0.0,
feature_invariant,all,100,dec0,mlp,12,0.685267925466789,0.17679453249803426,0.5084733929687547,0.8701556776556777,0.8939393939393939,0.08744837101518954,0.10986373171922169,0.02831745419490411,0.04189931212625733,0.0,
feature_invariant,all,101,dec1,mlp,12,0.7074633647076829,0.19667376573083287,0.51078959897685,0.8820670995670996,0.8939393939393939,0.10895372300059471,0.11745756356233701,0.022368305419585146,0.04068754734473282,0.0,
feature_invariant,all,102,dec2,mlp,12,0.7210232055402509,0.2156617956332826,0.5053614099069684,0.8802874902874902,0.8939393939393939,0.11971322352557687,0.12131691808145063,0.014961991053599537,0.055676169528562455,0.0,
feature_invariant,all,103,dec3,mlp,12,0.6245897421181512,0.09359265972181141,0.5309970823963398,0.8278058053058053,0.8939393939393939,0.14582712801787684,0.15607165713107235,0.02264434596044306,0.06759739796068491,0.0,
feature_invariant,stemfinal_differ,0,enc0,linear,12,0.64401030271998,0.10704756436341457,0.5369627383565655,0.6478529011759807,0.6719931104766013,0.1783298897757276,0.2082743029395543,0.05198040710778607,0.19238603977248825,0.06706802074877764,
feature_invariant,stemfinal_differ,1,enc1,linear,12,0.674825046257506,0.07612452801556008,0.5987005182419458,0.6757173781071023,0.6719931104766013,0.18092676315530834,0.17220438903389315,0.07450746844976733,0.2119300744031962,0.06706802074877764,
feature_invariant,stemfinal_differ,2,enc2,linear,12,0.7251582777661407,0.2164146233580115,0.5087436544081291,0.7218374899562869,0.6719931104766013,0.18830871754523945,0.18155541914839957,0.06674094172070788,0.2106639216651507,0.06706802074877764,
feature_invariant,stemfinal_differ,3,enc3,linear,12,0.7495242357329049,0.20336407293359252,0.5461601627993126,0.7324761401141583,0.6719931104766013,0.19181700407067778,0.20825439108652566,0.06225605746043461,0.2105412213654814,0.06706802074877764,
feature_invariant,stemfinal_differ,100,dec0,linear,12,0.7253465429060187,0.1792441346440631,0.5461024082619556,0.7103725472375269,0.6719931104766013,0.15121286433549747,0.16662808608555119,0.05037516061623019,0.15356668917139005,0.06706802074877764,
